nombre_buscado,tier_sala,nivel,target,sp_num_albums,sp_num_singles,sp_num_eps,sp_num_total_releases,sp_anos_activo,sp_releases_por_ano,sp_dias_desde_ultimo_release,sp_ratio_albums_singles,sp_avg_duration_ms,sp_pct_explicit,sp_pct_colabs,lfm_oyentes,lfm_oyentes_log,lfm_scrobbles,lfm_scrobbles_log,lfm_scrobbles_por_oyente,lfm_num_generos,yt_suscriptores,yt_suscriptores_log,yt_vistas_totales,yt_vistas_log,yt_num_videos,yt_vistas_por_video,yt_vistas_por_suscriptor,yt_edad_canal_anos,sl_avg_canciones,sl_pct_encore,sl_num_paises,sl_num_conciertos,sl_pct_espana,trend_gtrends_interes_medio,trend_gtrends_log,trend_yt_vistas_recientes,trend_yt_vistas_recientes_log,trend_yt_videos_recientes,trend_yt_vistas_por_video_reciente
Ralphie Choo,3,alto,3,1,9,0,10,6.0,1.67,129.0,0.1,170916.4,0.0,1.0,115368.0,11.655890966119186,4633848.0,15.348898398204014,40.165799875182024,5,28500.0,10.25769445336048,10228972.0,16.140734741881452,32.0,319655.375,358.91129824561403,6.496919917864476,3.6545454545454548,0.03636363636363636,10.0,55.0,0.7272727272727273,29.68,3.4236109764990554,291372.0,12.582359512307637,5.0,58274.4
AKRIILA,2,medio,2,3,7,0,10,5.0,2.0,368.0,0.375,194208.55555555556,0.3333333333333333,0.8888888888888888,106666.0,11.577467111102917,9327744.0,16.048503850149004,87.44814655091594,5,66800.0,11.109473329472568,14328807.0,16.477782614209147,38.0,377073.86842105264,214.50309880239521,5.749486652977413,8.693877551020408,0.0,7.0,49.0,0.10204081632653061,2.36,1.2119409739751128,3855097.0,15.164906986186924,5.0,771019.4
rusowsky,3,alto,3,1,9,0,10,6.0,1.67,73.0,0.1,177720.0,0.0,0.6,336265.0,12.725657792409242,14290821.0,16.475128070994856,42.49868704741796,5,106000.0,11.571203807011969,65891952.0,18.003526882760344,38.0,1733998.7368421052,621.6221886792453,8.229979466119097,4.134328358208955,0.014925373134328358,11.0,67.0,0.6417910447761194,26.43,3.311637304949512,1624698.0,14.300833125819407,5.0,324939.6
Maka,3,alto,3,10,10,0,20,12.0,1.67,416.0,0.9090909090909091,182399.8,0.0,0.4,28783.0,10.267574956190314,530255.0,13.181115187780167,18.42250634054824,5,3810.0,8.24564690087386,926267.0,13.738918888601992,21.0,44107.95238095238,243.11469816272967,6.261464750171116,,,,,,53.25,3.993602992420569,328538.0,12.702410831321155,5.0,65707.6
RVFV,3,alto,3,2,19,0,21,9.0,2.33,73.0,0.1,,,,287840.0,12.570163523330631,4793990.0,15.38287381662802,16.655051417454143,5,1340000.0,14.108180918195472,951403381.0,20.673448696717543,78.0,12197479.243589744,710.0025231343284,9.648186173853524,0.0,0.0,1.0,22.0,1.0,32.92,3.5240048109237025,6531244.0,15.692108141578826,5.0,1306248.8
Don Patricio,2,medio,2,2,8,0,10,9.0,1.11,1768.0,0.2222222222222222,195314.5,0.25,0.75,100657.0,11.519483911267475,1396508.0,14.149486109029738,13.873928291127294,5,663000.0,13.404531777462488,397102418.0,19.799704787747494,50.0,7942048.36,598.9478401206636,10.220396988364135,3.8536585365853657,0.0,2.0,41.0,0.9512195121951219,19.89,3.0392705755684744,1966753.0,14.491895026001547,5.0,393350.6
Nyno Vargas,2,medio,2,3,7,0,10,11.0,0.91,80.0,0.375,202024.0,0.0,0.6,19385.0,9.872306435052554,154538.0,11.948201770650021,7.972040237296879,5,706000.0,13.467371932904971,624857824.0,20.253034701823175,158.0,3954796.35443038,885.0677393767705,11.039014373716633,0.0,0.0,1.0,1.0,1.0,39.19,3.6936182084611096,119751.0,11.693178216595072,5.0,23950.2
sen senra,2,medio,2,6,4,0,10,9.0,1.11,332.0,1.2,195513.8,0.0,0.6,163577.0,12.005045219780673,6990258.0,15.760028166456312,42.7337461868111,5,151000.0,11.92504173829169,96072890.0,18.38061774257393,68.0,1412836.6176470588,636.2443046357616,11.53182751540041,5.308641975308642,0.0,9.0,81.0,0.7530864197530864,33.4,3.5380565643793527,35450.0,10.475906740307126,5.0,7090.0
Natalia Lacunza,2,medio,2,4,6,0,10,7.0,1.43,179.0,0.5714285714285714,183392.6,0.0,0.8,117435.0,11.673648783322784,3834820.0,15.159633316335626,32.65483033167284,5,247000.0,12.417147664184915,94998763.0,18.369374438953862,15.0,6333250.866666666,384.61037651821863,9.32785763175907,6.31,0.04,2.0,100.0,0.97,27.64,3.3548043420924447,79315.0,11.281195152718697,5.0,15863.0
Lia Kali,3,alto,3,2,8,0,10,3.0,3.33,409.0,0.2222222222222222,186267.0,0.0,1.0,23412.0,10.061046702637492,439818.0,12.994118557624848,18.786007175807278,4,222000.0,12.310437165348775,129928252.0,18.682492956066994,59.0,2202173.7627118644,585.2623963963964,6.132785763175907,0.3492063492063492,0.0,5.0,63.0,0.8888888888888888,53.53,3.9987510089379703,70865.0,11.168546048839902,5.0,14173.0
Bb trickz,2,medio,2,1,9,0,10,3.0,3.33,229.0,0.1,135780.2,0.4,0.6,243488.0,12.402827045946394,7828552.0,15.873288248845562,32.151695360756996,5,440000.0,12.994532278619134,129015516.0,18.675443241913772,17.0,7589148.0,293.21708181818184,3.0937713894592744,,,,,,23.08,3.1813816204406202,1339656.0,14.10792416901189,5.0,267931.2
