nombre_canonico,spotify_id,spotify_nombre,spotify_score,lastfm_nombre,lastfm_mbid,lastfm_score,yt_channel_id,yt_nombre_canal,yt_score,sl_nombre,sl_mbid,sl_score,manual_override,notas
Daniela Garsal,5UA1oMfQ2oISh5SaZiVjXe,Daniela Garsal,1.0,Daniela Garsal,3780ea5e-8fd8-4a54-a4b5-054731662b3c,1.0,UCjlDfNAarQbdDvVdhLwVo_w,Daniela Garsal,1.0,Daniela Garsal,3780ea5e-8fd8-4a54-a4b5-054731662b3c,1.0,True,
Cocco Lexa,5WMoWNq8DuL9pob4qu7mau,Cocco Lexa,1.0,Cocco Lexa,5dff554e-ba04-4d3d-bd64-0ad19faa54a0,1.0,UCYMsi5mzjUpK-NckUOx-9Qw,Cocco Lexa,1.0,Cocco Lexa,5dff554e-ba04-4d3d-bd64-0ad19faa54a0,1.0,True,
Gloosito,1MXug5KOetEEQjjvCPWwIm,Gloosito,1.0,Gloosito,9110ae2b-6f72-4f69-a6da-342e4a8c55f9,1.0,UClhRceYtUx1PK-OSo5jic-w,Gloosito,1.0,Gloosito,9110ae2b-6f72-4f69-a6da-342e4a8c55f9,1.0,True,
mvrk,6WCTfR8dIuTqWrFrzt2yl0,mvrk,1.0,MVRK,,1.0,UCP6-KscDu1Q8GnrO5UviX2w,Mvrk,1.0,mvrk,115d217c-e8e0-4b31-b1d7-02edc331be1a,1.0,True,
Vera GRV,03ibrSvByQ6WCX79oFaORa,Vera GRV,1.0,Vera GRV,ade6462b-e109-4f82-9b03-9b322f0fbfdc,1.0,UCzjtV2uxLUcvUTyqIkkBw2A,Vera GRV,1.0,Vera GRV,ade6462b-e109-4f82-9b03-9b322f0fbfdc,1.0,True,
Slappy Av,6GWTEzK62O11ilSUbVG7Fi,Slappy Av,1.0,Slappy Av,,1.0,UCnywtedcTEHReU_PhTSc5HQ,Slappy Av,1.0,,,,True,
Hecky,62LTdoyTuT7z5r75cUozX7,Hecky,1.0,Hecky,,1.0,UCK3bwvTmTun_boHWF47xY0Q,HECKY,1.0,,,,True,
céro,5AiFFE0KopBkOzEZeDbSaH,céro,1.0,céro,,1.0,UCGzWp097m3a7ROcrb0l4qBA,céro,1.0,,,,True,
Dollar Selmouni,2544NCTfffschCn1NZVMSb,Dollar Selmouni,1.0,DOLLAR SELMOUNI,,1.0,UCEj0KFkQtkYshC7TCCIqz7Q,DOLLAR SELMOUNI,1.0,Dollar Selmouni,2422d7d2-e56d-488d-b056-fa9ecd4b4c65,1.0,True,
Eflexx,1Hn4pH541qMOF6J8F3jprI,Eflexx,1.0,Eflexx,9c738c4b-948a-4b8a-8da0-77c6761a48f6,1.0,UCwCzk0nGJmsuY0S07IScX8Q,Eflexx,1.0,Eflexx,9c738c4b-948a-4b8a-8da0-77c6761a48f6,1.0,True,
Baby Loud,6VSlGCOiyCqCRfFsThtvA7,Baby Loud,1.0,Baby Loud,7cb84b96-9107-4902-b078-6cc583f9a11c,1.0,UCWgej03msOJfj6XF-yM1QVw,BABY LOUD,1.0,Baby Loud,7cb84b96-9107-4902-b078-6cc583f9a11c,1.0,True,
Zeno El Faraón,1K15TdvUep1VIcFo0B6C1C,Zeno El Faraón,1.0,Zeno El Faraón,,1.0,UCqhyC7Hu8iVAvmhHPd541wQ,Zeno El Faraón,1.0,,,,True,
Sticky M.A.,5o7fmoqHl79fzoCzeApdxm,Sticky M.A.,1.0,Sticky M.A.,ccdb6a3f-e443-4dc7-a0c5-5dc9e89948ec,1.0,UCPvjTpNpjCldFlip7SegdwQ,StickyMA,0.84,Sticky M.A.,ccdb6a3f-e443-4dc7-a0c5-5dc9e89948ec,1.0,True,
BabyMurda,2kz8jl2xrOh8D7hP2VMvQP,BabyMurda,1.0,BabyMurda,,1.0,UCiPLsac-hPDlSQkr_GfNvcg,BabyMurda,1.0,,,,True,
Munic HB,28oQ6vi1R2m9mdSBnsAkUQ,Munic HB,1.0,Munic HB,,1.0,UC3cvqlS5U6meZxthdl6G2oQ,Munic HB,1.0,Munic HB,e703f6be-fe43-4a6c-9254-a3fc57d25c15,1.0,True,
roomtrash6,1VdDHkm5XpSy9OZiNTCzjE,roomtrash6,1.0,roomtrash6,,1.0,UCwCWLwUlOuz4XlafWGKa34g,roomtrash6,1.0,roomtrash6,fa85d059-e9b4-4e23-8124-dd1ba89434a1,1.0,True,
Galera,4vjLKty3wfZLVaPyTSucdp,Galera,1.0,Galera,3e871c1b-8572-44ac-81cf-28bb2fe66181,1.0,UCWQ4vtEhUU-KPIxLH6SeGKg,Galera,1.0,Galera,3e871c1b-8572-44ac-81cf-28bb2fe66181,1.0,True,
7loseey,7IO7OuaXHHZrg6TaWWKkxC,7loseey,1.0,7loseey,,1.0,UC0XlG8MX2qBXD3DQoBNw5QA,7loseey,1.0,,,,True,
Lacuei,3iaD99OqjiPd782dMatY3W,Lacuei,1.0,Lacuei,039b1e39-6d6b-4ad0-8b0e-fd7074d192a5,1.0,UCUIGOEWGGYnT1YSk0JwCFdw,LACUEI,1.0,Lacuei,039b1e39-6d6b-4ad0-8b0e-fd7074d192a5,1.0,True,
Dawaira,4URUm7qklThCHhio3adECT,Dawaira,1.0,Dawaira,6666e74a-ab6f-4c4a-965c-0cd602a381f7,1.0,UCYZw1FTWhZvwnxPedAL9eRw,DAWAIRA,1.0,Dawaira,6666e74a-ab6f-4c4a-965c-0cd602a381f7,1.0,True,
nusar3000,2Mvgw0Sfyepmz6lgRAooex,nusar3000,1.0,nusar3000,50b94aa1-45d5-4ba6-9122-951e7d3f933a,1.0,UCEK-KX24tmXR1bDCfhE_hgw,nusar3000,1.0,nusar3000,50b94aa1-45d5-4ba6-9122-951e7d3f933a,1.0,True,
Yung Beef,1rTUwYS38LkQTlT2fhikch,Yung Beef,1.0,Yung Beef,505e16b2-ef1b-42cc-b323-1a9664bcf69a,1.0,UCucauJSjPAgnVhIiH-NpHAA,YUNGBEEFNOCAP,1.0,Yung Beef,505e16b2-ef1b-42cc-b323-1a9664bcf69a,1.0,True,canal real @YUNGBEEFNOCAP (era Topic)
Dellafuente,4bJh7sMPcVRiqe5jlnsWQV,DELLAFUENTE,1.0,Dellafuente,e2e593af-0b56-4a12-90fd-53611e14abcd,1.0,UCwNXmdL8oVfJgXXHE6gk7_Q,DELLAFUENTE,1.0,Dellafuente,e2e593af-0b56-4a12-90fd-53611e14abcd,1.0,True,
Natos y Waor,1QJbbsxg2wqidJj51d3otw,Natos y Waor,1.0,Natos y Waor,947f21fa-4244-433c-8d51-bf43513d3f71,1.0,UCq-3_QjeLPs4yAuZEIwvHWg,Natos y Waor,1.0,Natos y Waor,947f21fa-4244-433c-8d51-bf43513d3f71,1.0,True,
Recycled J,4bWHA8fMNjzfGPQqnh5D6y,Recycled J,1.0,Recycled J,1b368d32-7912-4774-852e-53353831ecfa,1.0,UCWSLFbAwIig2P53M1uKTsxg,RECYCLEDJ,0.95,Recycled J,1b368d32-7912-4774-852e-53353831ecfa,1.0,True,
Rels B,2IMZYfNi21MGqxopj9fWx8,Rels B,1.0,Rels B,c1a3132a-c23e-4283-8f9a-4080dc52a177,1.0,UCdQC15x2gc7Ta_Tuh9Srh5g,Rels B,1.0,Rels B,c1a3132a-c23e-4283-8f9a-4080dc52a177,1.0,True,
Elio Toffana,3iaWOU36p7W4oqHLDoBQmr,Elio Toffana,1.0,Elio Toffana,96d84644-dea7-4429-ba47-bb8b15431bcb,1.0,UCdRbb4yA1gx8Yh3DVXO2A8Q,Elio Toffana Oficial,1.0,Elio Toffana,96d84644-dea7-4429-ba47-bb8b15431bcb,1.0,True,
Cruz Cafuné,0jeYkqwckGJoHQhhXwgzk3,Cruz Cafuné,1.0,Cruz Cafuné,34652ef4-3f17-4eed-ba15-237c49373329,1.0,UCoczSPtghrDAg-rmK-hk9xg,Cruz Cafuné,1.0,Cruz Cafuné,34652ef4-3f17-4eed-ba15-237c49373329,1.0,True,
Lucho RK,1y6tVxTqgNfqxTayfohSKJ,Lucho RK,1.0,Lucho RK,c3d7f812-47b2-4d78-9ac2-9512817d8add,1.0,UCtlCn8g2P2aWl87igBXUmVg,Lucho RK,1.0,Lucho RK,c3d7f812-47b2-4d78-9ac2-9512817d8add,1.0,True,
Maikel Delacalle,2t7vyRN71qtQT18frElAnV,Maikel Delacalle,1.0,Maikel Delacalle,ab1d4693-41dd-44ed-9e9c-da2ff76f1a3a,1.0,UCP-KZXw4_qy30e_vQh0x2Nw,MAIKEL DELACALLE,1.0,Maikel Delacalle,ab1d4693-41dd-44ed-9e9c-da2ff76f1a3a,1.0,True,
La Pantera,0IEzMvarfVycBJAXjjEZOL,La Pantera,1.0,La Pantera,,1.0,UCfFgNvGDrnY04UjvI_8DFPQ,La Pantera,1.0,La Pantera,2f47793d-6a91-46e5-b33d-e01c0e75d522,1.0,True,
Delaossa,5Uox3n7m4W2CoM9MmHPJwQ,Delaossa,1.0,DeLaOssa,,1.0,UC2NHs6NHZO7HDMtUo_J9Axg,DELAOSSA,1.0,Delaossa,86e9b6a3-8fc0-4c91-a90e-7a5ee3f9639d,1.0,True,
Bad Gyal,4F4pp8NUW08JuXwnoxglpN,Bad Gyal,1.0,Bad Gyal,9cb2e99f-d0ba-4aa5-a371-0006b0d34090,1.0,UC2ypBaYnDvnlbzyAH8w2jsw,Bad Gyal,1.0,Bad Gyal,9cb2e99f-d0ba-4aa5-a371-0006b0d34090,1.0,True,
Camin,3qndygm4Vx7bEW8tNyDKSY,Camin,1.0,caMin,,1.0,UCAeMoVmibDFgYotl1ipBMsA,Camin,1.0,,,,True,
Xiyo,2FzRIRtYVDBIJBvTqh7xzQ,Xiyo,1.0,XiYo,,1.0,UCHTNfoWyVQHJuip2__qVH_g,XiyoyFernandezz,1.0,Xiyo,ad938b0a-e5da-4ae8-a73e-fbf40d37b40a,1.0,True,canal compartido con Fernandezz
Fernandezz,7mVQGK5j4VKkAvdOhUotB1,Fernandezz,1.0,Fernandezz,,1.0,UCHTNfoWyVQHJuip2__qVH_g,XiyoyFernandezz,1.0,,,,True,canal compartido con Xiyo
8belial,3GMBcFbI21Tbi1POVBmCwb,8belial,1.0,8belial,073955d7-0069-4edd-b831-8def3791f204,1.0,UCPD6j3qyAQ4Xi8JaaOcu4bg,8Belial,1.0,8belial,073955d7-0069-4edd-b831-8def3791f204,1.0,True,
Beny Jr,22dFwJoRBV51ue5TGnC7Dt,Beny Jr,1.0,Beny Jr,30cd0efd-329c-4325-9582-632eee4b2d7c,1.0,UCFkew7OWYW2AViFz22dy4Og,Beny Jr,1.0,Beny Jr,30cd0efd-329c-4325-9582-632eee4b2d7c,1.0,True,
Morad,4az97MtWmBQ5Db3GfDh9j9,Morad,1.0,Morad,fab6c2bc-87f7-4088-9301-6bd6164e9c3c,1.0,UCkAO0oRFeK1MFtPdkl9qEZQ,Morad,1.0,Morad,fab6c2bc-87f7-4088-9301-6bd6164e9c3c,1.0,True,
SAIKO,2O8vbr4RYPpk6MRA4fio7u,SAIKO,1.0,Saiko,,1.0,UCGB9lFem70FKvphlf6NirZg,SAIKO,1.0,,,,True,
